,Return,Volatility,Sharpe,Weights
28,0.19634441112735732,0.21237224369241905,0.7832681344567591,"[0.11139033 0.14188187 0.04750542 0.16780041 0.07878946 0.28964051
 0.16299199]"
29,0.25238478181244417,0.2454266347589813,0.906115108618243,"[0.23246034 0.17487134 0.03625688 0.19886284 0.12251466 0.00108761
 0.23394633]"
30,0.13785043297342175,0.20006171316638285,0.5390858214021547,"[0.17278546 0.06320661 0.0848219  0.06353523 0.00717672 0.55851326
 0.04996082]"
31,0.23306897529678164,0.2115000178941708,0.9601369178058045,"[0.17045348 0.12633608 0.24743339 0.07361052 0.01536515 0.24713431
 0.11966707]"
32,0.20455109341596922,0.24019442676620373,0.7267075084380319,"[0.22427931 0.24076036 0.02263243 0.13157181 0.11627463 0.11963354
 0.14484792]"
33,0.30013433795902156,0.2537918568916553,1.0643932443992594,"[0.27810401 0.15310308 0.20521828 0.0566357  0.18162725 0.03847557
 0.08683611]"
34,0.23534185027940088,0.21404115253873532,0.9593568706010396,"[0.10793372 0.14659053 0.18637608 0.15483595 0.01431152 0.1849669
 0.2049853 ]"
35,0.16383666712506495,0.24268384288593692,0.5514856923869016,"[0.08452843 0.29355713 0.23119497 0.25983717 0.08494459 0.04352793
 0.00240978]"
36,0.23706432467277502,0.21282328690603347,0.9729401687335034,"[0.10257824 0.07395182 0.27385295 0.22965464 0.08331493 0.15644362
 0.0802038 ]"
37,0.18268486200381165,0.21679282873321867,0.704289264990877,"[0.25481268 0.16778939 0.09429134 0.10996979 0.01573622 0.21759033
 0.13981024]"
38,0.23110451295517856,0.23560017294663785,0.8535838935938627,"[0.22487386 0.14921623 0.18119471 0.20129194 0.13422435 0.04101508
 0.06818384]"
39,0.23441801544979973,0.2215415627805155,0.9227072919600178,"[0.02739496 0.11922176 0.21519998 0.22997778 0.16187106 0.199909
 0.04642546]"
40,0.19315122067527082,0.2285541663643148,0.7138405012280903,"[0.07514803 0.20353582 0.02801773 0.26369593 0.09911511 0.1415812
 0.18890617]"
41,0.25750210661519385,0.24680504700865033,0.9217887128832503,"[0.11520025 0.20371224 0.02311679 0.15369381 0.19200183 0.13134033
 0.18093475]"
42,0.2548429966812867,0.23188822204212767,0.9696180112176588,"[0.29673193 0.13209208 0.05291127 0.09405386 0.05263839 0.11161916
 0.25995331]"
