Date,AAPL,META,GOOGL,MSFT,GFS,V,C
2025-06-24,0.3335295927334825,4.754410403511094,2.6752911150745344,6.727417951536419,1.7337852394225413,-0.017469057700905444,4.399156038967207
2025-06-25,-1.9470037487886782,3.4670321458749687,2.3621696017181018,6.157408271203433,-0.26832556799951013,-0.8948024870329252,3.90940004330498
2025-06-26,-2.53250737080612,3.434787034384475,2.644363272335006,6.814901865757395,-0.6127560666768826,-0.9027695753978308,4.2847562815750795
2025-06-27,-2.3933808314060414,3.601947053904773,2.4715080369855658,6.020101440268348,-1.0964570024448215,-0.6907480883395439,4.452586756621987
2025-06-30,-1.2770581063178816,4.851982516808141,2.317687241022474,6.068689925901884,-0.9194731348949869,-0.6214173951954445,4.4480500867530015
2025-07-01,-0.6996598432527745,3.9095846998592028,1.8344588886303543,4.930999250576505,-0.010019263589563331,-0.8337115051295652,5.0872637959880365
2025-07-02,0.6402988958826263,3.612339979621876,2.2444861879422775,4.202283221765532,0.34219521560067195,-1.192236617179421,5.09737792575449
2025-07-03,1.2087671257866353,4.05585292881131,2.9367921699693182,5.114444331113462,0.5175487338207004,-0.6744609043929478,5.961194978520703
2025-07-07,1.4883339592926574,4.114092145923336,1.5972945305987438,6.030788985139045,0.9155581830258497,-0.13986613711667795,7.5463142090966135
2025-07-08,1.6484717077348572,4.167124473188525,0.7028100889765836,5.522749961643057,2.5561099290183034,-0.2998676628699019,6.028744660329344
2025-07-09,3.454925823306907,5.314089321624363,1.5856882819566882,7.229328086065356,2.7995266977317095,0.3975925268540061,6.362556144620996
2025-07-10,2.769706047082154,4.303739093856826,0.9527204334946879,6.011233299117637,2.563509220069059,-0.30998005482104585,6.065197653649755
2025-07-11,2.4142817048985576,3.6959449048343793,1.5323142237078633,7.057490342423811,2.846296214329808,-1.056538493939775,6.167128095751981
2025-07-14,1.9054125656578649,3.779512425030904,1.8829327047264115,6.759784545422917,2.177523547059608,-1.0577188535118998,6.253191249384375
2025-07-15,1.806876462190212,3.0894282296586715,1.9885000223613614,6.889885897133844,2.941356353688005,-1.624495247295571,7.24607934340583
2025-07-16,1.8425618081173123,1.66233941950982,2.7583773229990887,6.568972041330638,2.7373151132862676,-1.3613649644560515,6.580062166498386
2025-07-17,1.4548943316691796,1.8064646710240477,3.5552407537644304,7.121672361261817,2.3677640743930204,-1.417398364494797,7.046530165644978
2025-07-18,1.817183653515366,0.895734927911707,3.4530961255072827,6.655707485798425,1.7553657800111007,-1.6794298400540453,7.283151742394979
2025-07-21,2.6632612340533073,1.5401602712709386,4.211811186884135,6.098593658175793,2.047633851642962,-1.3947231206161825,6.727713015570911
2025-07-22,2.3648606242530077,0.3872106475308619,3.539604103259305,4.792072444197399,1.7217478068834893,-1.6220712847664442,6.580476998740166
2025-07-23,2.984818867489818,1.0583801893546658,2.797923481413993,4.532157793010451,1.1874410165482792,-0.9956414443107267,7.2940033079930275
2025-07-24,2.588792290006723,0.6724359629429524,2.6672635007546366,5.469415410022564,-0.0887159391876942,-1.481698979747197,7.082644904499513
2025-07-25,3.870021651818455,1.025585649264254,3.1395131131373244,5.591824088986443,0.9997086341251465,-1.426077022391408,7.178747666829237
2025-07-28,3.7964314731906152,1.337673047434194,3.401270039863838,4.637709891441549,1.890940618310955,-1.4032869315450769,7.01623225274908
2025-07-29,3.8591812819133717,0.9353561652790734,4.205205165570519,5.412078590257223,2.590571508867402,-0.2015158942582102,7.839604103696776
2025-07-30,2.6889077514706012,-0.4441930945456031,3.9301930172190613,4.924919984204332,1.333440924402044,-0.5332131399860371,7.652871123022339
