Date,Max Sharpe Portfolio,Min Volatility Portfolio,Equal Weight Portfolio
2025-08-29,0.0,0.0,-0.29811592663544084
2025-09-02,-1.1342634936012626,-0.5394237004712825,-1.0956621877276818
2025-09-03,0.0,0.0,0.0
2025-09-04,0.0,0.0,0.0
2025-09-05,-0.41664781111472793,-1.5213043453544841,-0.7121733541702707
2025-09-08,-0.464210353779913,-1.5238510166849337,-0.8972547490968923
2025-09-09,0.0,-1.1173681236351318,-0.5594162274499482
2025-09-10,-0.4883000627144233,-1.9518541463732046,-1.6478361080524861
2025-09-11,0.0,-1.1073652645400947,-0.7714749098453684
2025-09-12,0.0,-0.7148057610575475,-0.4560135613866552
2025-09-15,0.0,0.0,0.0
2025-09-16,0.0,-0.27874648826908244,0.0
2025-09-17,0.0,0.0,0.0
2025-09-18,0.0,-0.735096788549343,0.0
2025-09-19,0.0,0.0,0.0
2025-09-22,0.0,0.0,0.0
2025-09-23,-0.5423152574271625,-1.0771219985849032,-0.8139440374874108
2025-09-24,-1.7391383918247678,-1.3797444650384456,-1.2145161612462982
2025-09-25,-1.9296091450155528,-1.9128836145875132,-1.5652197454063062
2025-09-26,-0.7425045231575724,-1.2049245163019107,-0.11312087642411484
2025-09-29,-0.9034671038332495,-0.8293016179512385,0.0
2025-09-30,-1.8686769034458521,-0.622693557585133,-0.7624424835127067
2025-10-01,-2.7426709606805812,0.0,-1.5405213758745515
2025-10-02,-2.903151290624297,-0.2845963768251588,-1.0896079019420535
2025-10-03,-2.742197066797267,0.0,-1.0920036798009085
2025-10-06,-1.7811325775330198,0.0,-0.39093405194647374
2025-10-07,-2.7422658104608915,-0.34904106994261225,-1.158968358771762
2025-10-08,-3.1425711588326375,-0.3649917307734425,-0.8206426329557438
2025-10-09,-4.127201786402514,-1.3235312945915243,-1.4906276276238548
2025-10-10,-6.401854414608735,-3.262032763305281,-4.488299134850465
2025-10-13,-4.0476503637881,-2.391676478000966,-2.7369998056286473
2025-10-14,-2.1852425537297626,-1.7502388499107666,-1.761429792333357
2025-10-15,-1.3448839173565235,-1.6070518808047822,-1.3138009934352233
2025-10-16,-2.999144992165082,-2.888205001554609,-2.6820186896535336
2025-10-17,-2.1656565617574435,-1.7814826348191986,-1.7681035953778284
2025-10-20,-0.3843262456587501,-0.632144701942724,0.0
2025-10-21,-1.6481348987213695,-0.6511052339054875,-0.30366315138434363
2025-10-22,-2.4859965121634438,-0.8077536583573041,-1.1770248505581289
2025-10-23,-1.96151131655526,-0.575501019485245,-0.6612216293854172
2025-10-24,0.0,0.0,0.0
2025-10-27,0.0,0.0,0.0
2025-10-28,-0.25191808575386915,0.0,-0.08584485285898233
2025-10-29,-0.23692580876363648,-0.20991378851477824,-0.3494336859166192
2025-10-30,0.0,-0.41261028912541264,-0.9070084866866116
2025-10-31,0.0,-1.4693199983549268,-1.7881878730312106
2025-11-03,0.0,-1.8210210326086742,-1.979664994068968
2025-11-04,-1.2772938171050583,-2.0395870139004333,-2.9627078676347316
2025-11-05,0.0,-2.085102349002241,-2.051922307475228
2025-11-06,-0.6579045418027752,-3.1709968900754455,-3.4187715881992964
2025-11-07,-1.5939125028077188,-3.6579118218419375,-3.9011182383124154
2025-11-10,0.0,-2.444474188832825,-2.543126602231737
2025-11-11,0.0,-1.584828481460882,-2.0682207997117175
2025-11-12,-0.02192806695484131,-1.691261522158966,-2.6532893832257023
2025-11-13,-2.3432662204904395,-3.066274558799699,-4.270482862058002
2025-11-14,-2.8522346034914556,-3.3354817310244296,-4.384930479241709
2025-11-17,-2.6441822136800948,-3.702233598865194,-4.947927312225626
2025-11-18,-2.8866875187420207,-5.144545498174262,-5.6660461439293694
2025-11-19,-1.1033763182881315,-4.796762314511298,-5.186204507366825
2025-11-20,-2.5890835385873494,-5.688567720818626,-6.302675515587531
2025-11-21,-0.29434333970734594,-4.880672936048847,-4.5804474006031315
2025-11-24,0.0,-3.446966536035926,-2.559564591152869
2025-11-25,0.0,-2.371613405272533,-1.268665951962336
2025-11-26,0.0,-1.9290196525640693,-0.7701958386598523
2025-11-28,0.0,-1.2750543362145341,0.0
2025-12-01,-1.0874179620844415,-2.196956317398166,-0.6113246212809349
2025-12-02,-0.5073831333313351,-1.818109332734831,0.0
2025-12-03,0.0,-2.4881985339785455,0.0
2025-12-04,0.0,-2.7105669559624452,0.0
2025-12-05,0.0,-1.9061175133872024,0.0
2025-12-08,-0.8518003522519173,-2.145751321312629,-0.10898711921674822
2025-12-09,-0.2969416309881274,-1.9794431496276594,-0.10786105333562479
2025-12-10,0.0,-2.769884902867816,-0.07627515135692008
2025-12-11,-0.2854979192724266,-0.7334856378258718,0.0
2025-12-12,-0.863448338483281,-1.0859187920566273,-0.8103514978309899
2025-12-15,-0.9787958085567461,-1.6990712679870124,-1.554489996411043
2025-12-16,-1.7223004597908245,-1.8367015825486128,-1.6703459259087994
2025-12-17,-3.140417121323168,-2.5643236792258053,-2.7550575922352074
2025-12-18,-1.8339649456175622,-1.4954651784057287,-1.71469366128722
2025-12-19,-0.3924946665048186,-0.7029238137455985,-0.9212492996100956
2025-12-22,0.0,-0.42203661558257594,-0.4786556172616945
2025-12-23,0.0,0.0,-0.10159122600665446
2025-12-24,0.0,0.0,0.0
2025-12-26,-0.4455275558185422,-0.09645018890229352,-0.263638257617746
2025-12-29,-1.1797369243364533,-0.19564292788849755,-0.6299247986679284
2025-12-30,-1.3899284383073898,-0.2614530109895434,-0.5297762966701086
2025-12-31,-1.9960057495229915,-0.9895872735466598,-1.5194771244330991
2026-01-02,-0.8932981038109699,-1.9946966622125955,-1.1255519637669242
2026-01-05,0.0,-1.2600097685139393,-0.13399414813416405
2026-01-06,-0.05536487611059121,-0.6532480682941463,0.0
2026-01-07,0.0,-0.1296443143409194,0.0
2026-01-08,-0.2205288895681669,-0.8500189760320113,-0.9653746556509017
2026-01-09,0.0,-0.7882487794756966,-0.33592515244637167
2026-01-12,-0.9139962816666297,-1.4607040983100605,-1.0877485649011842
2026-01-13,-1.138058921912981,-3.2493214425659147,-1.7532502984658982
2026-01-14,-2.414401666448438,-4.029326687710301,-2.7496147121799597
2026-01-15,-1.1062993671616577,-4.497631981878595,-2.308129352764414
2026-01-16,-1.3037610669417528,-4.432771242954848,-2.4892571092471183
2026-01-20,-3.7944728423396827,-5.745411464366844,-3.752028739429883
2026-01-21,-2.3534451241181626,-6.118493930675311,-2.7184046988355237
2026-01-22,-1.435034646110379,-5.318660460065819,-1.5838357569572872
2026-01-23,-2.6532970452417146,-4.45803069014314,-1.941835018749437
2026-01-26,-1.2045390757777001,-3.2972929371492343,-0.1797772924834529
2026-01-27,-0.6016588776157192,-2.592006430662709,0.0
2026-01-28,-0.8416691480646212,-2.4115687785125575,-0.5836960208421074
2026-01-29,-0.16807566996396742,-5.1084093807823105,-0.4074470198742663
2026-01-30,-0.6922165554088611,-6.437429231902063,-1.9652363501229182
2026-02-02,0.0,-5.128925961195658,-0.9313279049373566
2026-02-03,-0.4331903129243998,-6.8346632986647355,-2.3520802048343312
2026-02-04,-1.204045406303395,-6.562366216261616,-2.4693716017563934
2026-02-05,-2.0695556242459454,-8.396380686612707,-3.5175600834857663
2026-02-06,-0.42125144738495124,-7.690361003094562,-2.091756103427242
2026-02-09,0.0,-7.246370313351973,-1.3534027118642564
2026-02-10,-1.4049390304024212,-7.3222863817242185,-2.3667513210411752
2026-02-11,-2.724086158339158,-7.982185011682466,-1.1713432830827666
2026-02-12,-5.29902431252042,-9.317864965757883,-3.431993134230781
2026-02-13,-6.106996837723885,-10.71041348171431,-4.506697449105941
2026-02-17,-5.5036998858166095,-10.40570116836428,-4.021314586048292
2026-02-18,-4.720727668115665,-10.056142225041462,-3.898932042371789
2026-02-19,-5.227783092152915,-10.401430408728142,-4.562176584864883
2026-02-20,-3.3423484352577866,-9.558483678810182,-3.2543523399671934
2026-02-23,-5.903817230299327,-12.19891726048674,-5.411813143246894
2026-02-24,-6.057274125517349,-11.557289781296628,-4.619106965005803
2026-02-25,-3.824512614763762,-9.771766396776822,-2.508575120434898
2026-02-26,-4.0612185577657955,-9.636630076535473,-2.872168496315391
2026-02-27,-5.392359540456985,-10.142877778429432,-3.9964213270074844
2026-03-02,-5.247674378420051,-9.752472045941941,-3.040352248299731
2026-03-03,-6.148628667604825,-9.55157263879794,-3.8127294208298537
2026-03-04,-5.947293956856578,-9.511653129770373,-3.4327221165859485
2026-03-05,-6.937886423916904,-9.336834681266486,-3.715802799817749
2026-03-06,-8.356789224823979,-10.021383011040683,-5.181123336697064
2026-03-09,-7.286009098420812,-9.642019387745181,-4.527447749576669
2026-03-10,-6.52622888622028,-10.005343039952553,-4.406014167688892
2026-03-11,-6.730461463041198,-10.634671914154623,-5.3002300514932426
2026-03-12,-9.094063561372396,-11.679720548142793,-7.565374545576242
2026-03-13,-9.297197817826259,-12.37487503267734,-8.488399805381361
2026-03-16,-7.913602237528615,-11.379168596969116,-6.827627338413884
2026-03-17,-7.272379080686677,-11.318820304104618,-6.823807431557297
2026-03-18,-7.788079306170206,-13.186573124398329,-8.118644114533776
2026-03-19,-7.37981992398171,-13.357547481531586,-8.030367635406067
2026-03-20,-8.297127014125936,-14.061419521077525,-8.908240800400632
2026-03-23,-7.209407177310571,-13.452848472152002,-7.7728916040736244
2026-03-24,-7.756616771299855,-14.770066280957028,-8.014008900801585
2026-03-25,-7.335030247695706,-14.706026775372358,-7.633473594782767
2026-03-26,-9.718885152443825,-15.670872769630384,-10.128324260768409
2026-03-27,-12.739844663166835,-17.97424083242435,-12.935753235919604
2026-03-30,-12.962287357615047,-17.551771994534324,-13.049174765923222
2026-03-31,-8.515761851860132,-15.251491326841544,-9.080657804830587
2026-04-01,-6.771867383393302,-15.149402760167982,-8.42329327369362
2026-04-02,-7.0003731459161305,-14.677281706078906,-8.492806778975753
2026-04-06,-5.752806015929538,-14.172270462231374,-7.90173577148487
2026-04-07,-5.1665205748027905,-14.214636531360833,-7.871545178048238
2026-04-08,-0.7820367175621324,-12.450918933291806,-3.9998661254717156
2026-04-09,-0.010584235740964265,-12.450164519589151,-3.1663191763402647
2026-04-10,-0.40635339110773405,-13.073403591711902,-3.440063800300149
2026-04-13,0.0,-11.292297965297173,-2.2607194483151387
2026-04-14,0.0,-9.841393256542121,-0.566145283962911
2026-04-15,0.0,-7.448907160282261,0.0
2026-04-16,-0.5281104771729219,-6.906689539025429,0.0
2026-04-17,0.0,-5.837193487167986,0.0
2026-04-20,0.0,-6.507126636801143,0.0
2026-04-21,-1.1126331248675017,-6.898503956797865,-0.6243289856291404
2026-04-22,-0.547601726007331,-5.510020884214452,0.0
2026-04-23,-1.0042650847298777,-7.10125396993639,-0.8736558336321636
2026-04-24,-0.41392532069786053,-6.1629453117834885,-0.09899367202756493
2026-04-27,0.0,-6.009917333318418,-0.14450092433794887
2026-04-28,-0.32708407106020454,-5.660238800471101,-0.2931178309945329
2026-04-29,0.0,-3.2246380884079864,0.0
2026-04-30,0.0,-3.563668394523157,-0.046548977723913865
2026-05-01,0.0,-2.8571789236535206,0.0
2026-05-04,-0.38463973939149165,-3.1876786512928725,0.0
2026-05-05,0.0,-3.2384971477452194,0.0
2026-05-06,0.0,-2.9141022476219196,0.0
2026-05-07,0.0,-2.1010049182909722,0.0
2026-05-08,-0.5185262489136273,-2.4972386619178777,0.0
2026-05-11,-1.4736275922606192,-2.6236996054291497,-0.3594776080345353
2026-05-12,-1.5713247193575735,-2.7245514250460934,-0.7039792764703714
2026-05-13,-0.5310795139600494,-2.782490561888891,0.0
2026-05-14,-0.49187973382445677,-2.285512293884706,0.0
2026-05-15,-1.4656535212667403,-1.0793229341262023,-0.2780656821517368
2026-05-18,-1.909576637230396,-0.37912339846141796,-0.8561298260386361
2026-05-19,-3.791798447877395,-1.573783895093692,-2.1782007180644323
2026-05-20,-1.7122102784552469,-0.8574732871237726,-0.33926302948106923
2026-05-21,-0.694696868862448,-0.5897448549450481,0.0
2026-05-22,-0.8699044657115889,-0.8355686926215231,0.0
2026-05-26,0.0,-0.9640348866011554,0.0
2026-05-27,-0.9668345207686182,-1.2037182918432197,-0.9872162536314658
2026-05-28,-1.0922246426924198,-0.19171023918595947,-0.6515342620513555
2026-05-29,-1.6674100137462862,0.0,-0.23314492942924803
2026-06-01,-1.3691909691925253,0.0,-0.843858019654186
2026-06-02,-1.9860791817340677,-2.256914247585498,-0.8105466562006984
2026-06-03,-2.675464284855899,-4.0903319908198466,-1.1225945488477167
2026-06-04,0.0,-2.581776769987972,0.0
2026-06-05,-1.9999890731160728,-3.6781987816634514,-3.1644284557817968
2026-06-08,-2.3486730183272133,-4.832092041441595,-3.7106338169050144
2026-06-09,-2.014376768596564,-5.281292478942666,-4.456692649086117
2026-06-10,-3.391941717414108,-6.329545956552825,-5.530361660862219
2026-06-11,-1.5262427308396287,-6.950412145345035,-4.209991107849629
2026-06-12,-0.7491191134086597,-6.607911062922238,-3.939956953224308
2026-06-15,0.0,-5.0305182062392495,-1.7154409056469657
2026-06-16,0.0,-4.381325650363633,-1.58123199584762
2026-06-17,-1.0310325473644955,-6.44738603666732,-3.3004590843909365
2026-06-18,-0.3491252456917537,-6.362987274678404,-2.1021946815084624
2026-06-22,-1.4612862122171333,-8.157740875193848,-2.7614309521665903
2026-06-23,-2.463365917862797,-7.743792872820336,-3.7799263828104723
2026-06-24,-2.848168022104281,-8.19559398566468,-4.195686453649524
2026-06-25,-2.4720736638169547,-9.381061724643466,-4.777338484241063
