Date,AAPL,META,GOOGL,MSFT,GFS,V,C
2025-05-23,0.35833931013946135,0.4065066581578448,0.36250289666910945,0.3122977968584879,0.411662548020081,0.20381979906798275,0.2890983035337885
2025-05-27,0.34623759367832485,0.40917456078972364,0.36137523142294153,0.31427967882057006,0.4101589857975449,0.19494405424586947,0.2984976348654632
2025-05-28,0.3402366931016359,0.4006355235120757,0.3608594667034162,0.3158640140870257,0.41200060446535863,0.19481261159871865,0.29553538759817194
2025-05-29,0.3402608621629042,0.39360568487997727,0.3562021934776185,0.31423966766051636,0.4105493778559516,0.19532402523345396,0.29356410216172385
2025-05-30,0.319858896495621,0.3708854028376883,0.350055328806239,0.28726993892877084,0.3881445423398839,0.18977533294776916,0.26888481365396516
2025-06-02,0.3177654946585722,0.377787428620483,0.3508205440826134,0.28263337133782396,0.3881168714610879,0.18827505814484585,0.2666025441013785
2025-06-03,0.31230639533690263,0.35812980962251445,0.347091309058477,0.26722587624076755,0.3904263551850918,0.16152628979126982,0.2627347379651959
2025-06-04,0.29720447118252663,0.35783030014275946,0.34177376829033473,0.26511226687066064,0.3932821240805566,0.1328407045595715,0.25490037109154273
2025-06-05,0.29031413447296706,0.349697616572797,0.3354449860491498,0.2624170284265671,0.37748961551639304,0.13330070759090823,0.24698843581054317
2025-06-06,0.28922584706242405,0.34792689264746507,0.3402580585034408,0.24977921408635712,0.34134688612991204,0.1345058712221048,0.24197503623744085
2025-06-09,0.2907474557306607,0.34640153502713883,0.33969110374818823,0.24935188865369315,0.34383024482448643,0.13900167181605688,0.24261728607179067
2025-06-10,0.29110310840254827,0.34639469820401886,0.3394170021182305,0.25002997402264104,0.35105625042441224,0.1404683513569455,0.24251924883764908
2025-06-11,0.2951670314275772,0.3512983141799379,0.340344208013427,0.2501386067056383,0.3550663811250434,0.1385640063801328,0.24223070730297996
2025-06-12,0.2944620397102747,0.34841489204560033,0.3406044273394988,0.25074806965507984,0.35907774133697984,0.1380533140327302,0.2404273835057655
2025-06-13,0.29588423056969554,0.3389929280707546,0.33968960933581277,0.1433100733037436,0.37232068290576875,0.2033688680555052,0.25351515588528756
2025-06-16,0.2787953887697052,0.3276418345028816,0.33822769958999244,0.1319507611356398,0.3653009422535621,0.20002294560369568,0.2415131646462396
2025-06-17,0.2665218342295895,0.3296469504333443,0.33888060947322407,0.13290572501489298,0.37156364625920496,0.20063571072457123,0.24436217869817986
2025-06-18,0.26689522176433766,0.321729374489657,0.34183249090635126,0.12971657342251572,0.36381932284432833,0.24711740312125482,0.24197145124411937
2025-06-20,0.2724967176131088,0.3282241257114329,0.2868479180735976,0.13224187864758027,0.3634996610067506,0.2466484189258691,0.24115205919536825
2025-06-23,0.27207056362755483,0.33267431414256315,0.28491046737156145,0.1371880985435513,0.3624617872475113,0.25073683157086435,0.23757608793187646
2025-06-24,0.2724327565412777,0.3321204613952996,0.28313645537613497,0.13772865474136103,0.36869682846804336,0.2596070393227909,0.24296973520957485
2025-06-25,0.198624248058607,0.2515212003097348,0.27111001594560125,0.12374833154286215,0.3058475039247317,0.2632693198418253,0.20881424303578797
2025-06-26,0.19559270730842424,0.2504736860697081,0.273957701925655,0.12510864665962892,0.3017448081427626,0.2632434536805567,0.214531613565518
2025-06-27,0.19567599451671205,0.25122920430104856,0.2664265077690792,0.12558542903346556,0.3014720589623798,0.2643002441903444,0.21365884087530326
2025-06-30,0.20567316238270797,0.2376739918569026,0.268318772106174,0.12555990962502467,0.2999850648224266,0.26553425085359195,0.21363288098391045
2025-07-01,0.20954830243433933,0.25184703093538247,0.26658697490384325,0.13188682471277915,0.3152655950452009,0.2644240102761919,0.2143149803131386
2025-07-02,0.2166712813289385,0.2539763884854404,0.2695988340889909,0.1306162520128952,0.31376928540254856,0.2633280831498413,0.21432678071035624
2025-07-03,0.21499008059577987,0.2527618814686886,0.26426205380445134,0.1357454521377426,0.31420212069631265,0.266457445120003,0.2193597344456967
2025-07-07,0.20960586572612852,0.2524369389361916,0.2587286237164327,0.1290166101433418,0.3029744495683245,0.25829150528086264,0.19560167703546316
2025-07-08,0.20910670508101667,0.25234063256522843,0.2599444696134247,0.12982716973612418,0.36066953543812924,0.258836643253845,0.2125508232273866
2025-07-09,0.18638780364152688,0.24805349642027444,0.2582814903403658,0.1272552845659953,0.3555061710490436,0.2575174938031654,0.2107278353778755
2025-07-10,0.1740171916597379,0.24403264077153866,0.2479548260329635,0.11478443852970033,0.3536314949903784,0.2535959126330058,0.19678661464760364
2025-07-11,0.17551139477203645,0.24929652590589182,0.25060603667217896,0.11073813407590054,0.3510679515440852,0.2615253726285815,0.19600059326057884
2025-07-14,0.17969323016489575,0.24927086344721944,0.25080016243356484,0.11128797999109435,0.3587051239535277,0.26151548379955003,0.19627704206548868
2025-07-15,0.17948670843332915,0.25495181668997485,0.25067224176443414,0.11150753536936588,0.34506773743166697,0.2614232795670281,0.2152659475367503
2025-07-16,0.17960924912025683,0.2379202571155436,0.24499237957795245,0.11197731678857786,0.34602088274589743,0.2629400723035785,0.21906877129019023
2025-07-17,0.17867991014540957,0.2370864810350672,0.2377947268159428,0.11491709104582916,0.339843534565058,0.26282875343807655,0.23374060617397663
2025-07-18,0.17882103117715764,0.2197872835578254,0.23706635299769954,0.11643939436195176,0.3351863371386511,0.26194374844019547,0.23256579651433643
2025-07-21,0.17548459091921859,0.221520924160063,0.246778368685154,0.11579014333232081,0.3345302718051518,0.2626738659030799,0.23666562069976016
2025-07-22,0.1714775154091016,0.2180477527308292,0.23195192268338152,0.12077817118308434,0.33557049477356693,0.2609936451758294,0.23408814314451554
2025-07-23,0.16666720523656967,0.22005103353174846,0.23067774956363826,0.12056699823975552,0.3329814842795623,0.2618332553442086,0.2368936585828393
2025-07-24,0.1666033071158245,0.2175987741513647,0.22920417205064839,0.12106169083017641,0.33032252159276126,0.2594693297001353,0.23867374945480976
2025-07-25,0.15432622059909146,0.21469657917799534,0.22751564121185108,0.12131019923770653,0.32717650984233354,0.25997379977477514,0.23857132721290664
2025-07-28,0.15440139533860875,0.2152783321349286,0.22531264646046104,0.11804890271558349,0.32565213112851105,0.25989166881849096,0.23990830898620635
2025-07-29,0.15367020185078323,0.22311757478233607,0.22682884898242328,0.11404300940625543,0.3115577486228347,0.21800692415916711,0.22832528200535837
2025-07-30,0.15639816698250553,0.20762453130338007,0.2255214856002337,0.11254255774536714,0.3137740270591127,0.2168527791116749,0.22476770661912257
2025-07-31,0.15152840851205526,0.38612813871412016,0.2378819655789925,0.1548295570681397,0.34114898216556244,0.22013117657583395,0.2356446393831474
