,Date,Portfolio,Benchmark,Beta
218,2025-12-31,Max Sharpe Portfolio,SPY,1.373349803835746
219,2026-01-02,Max Sharpe Portfolio,SPY,1.4544303764730402
220,2026-01-05,Max Sharpe Portfolio,SPY,1.5092064223915285
221,2026-01-06,Max Sharpe Portfolio,SPY,1.5148031207508907
222,2026-01-07,Max Sharpe Portfolio,SPY,1.563411623293093
223,2026-01-08,Max Sharpe Portfolio,SPY,1.4623446619263587
224,2026-01-09,Max Sharpe Portfolio,SPY,1.334204333726073
225,2026-01-12,Max Sharpe Portfolio,SPY,1.3129727104976403
226,2026-01-13,Max Sharpe Portfolio,SPY,1.3689908048474395
227,2026-01-14,Max Sharpe Portfolio,SPY,1.3878269582766154
228,2026-01-15,Max Sharpe Portfolio,SPY,1.4018240303514904
229,2026-01-16,Max Sharpe Portfolio,SPY,1.4211635492727528
230,2026-01-20,Max Sharpe Portfolio,SPY,1.377759220512933
231,2026-01-21,Max Sharpe Portfolio,SPY,1.3514081343380806
232,2026-01-22,Max Sharpe Portfolio,SPY,1.3232152905364023
233,2026-01-23,Max Sharpe Portfolio,SPY,1.3148028567372503
234,2026-01-26,Max Sharpe Portfolio,SPY,1.3208081274289785
235,2026-01-27,Max Sharpe Portfolio,SPY,1.3458904626001749
236,2026-01-28,Max Sharpe Portfolio,SPY,1.3555989138822975
237,2026-01-29,Max Sharpe Portfolio,SPY,1.4338487759844891
238,2026-01-30,Max Sharpe Portfolio,SPY,1.4136914442282675
239,2026-02-02,Max Sharpe Portfolio,SPY,1.4064315176460929
240,2026-02-03,Max Sharpe Portfolio,SPY,1.4290700856380594
241,2026-02-04,Max Sharpe Portfolio,SPY,1.3643269655969117
242,2026-02-05,Max Sharpe Portfolio,SPY,1.36821517905383
243,2026-02-06,Max Sharpe Portfolio,SPY,1.270232162555587
244,2026-02-09,Max Sharpe Portfolio,SPY,1.1533025206883851
245,2026-02-10,Max Sharpe Portfolio,SPY,1.1449112738989988
246,2026-02-11,Max Sharpe Portfolio,SPY,1.1652294019501497
247,2026-02-12,Max Sharpe Portfolio,SPY,1.1598982624567244
248,2026-02-13,Max Sharpe Portfolio,SPY,1.2349362541081612
249,2026-02-17,Max Sharpe Portfolio,SPY,1.2441204182329904
250,2026-02-18,Max Sharpe Portfolio,SPY,1.2386808191119343
251,2026-02-19,Max Sharpe Portfolio,SPY,1.2029846210973647
252,2026-02-20,Max Sharpe Portfolio,SPY,1.2306682166193337
253,2026-02-23,Max Sharpe Portfolio,SPY,1.302053970978227
254,2026-02-24,Max Sharpe Portfolio,SPY,1.37073053102197
255,2026-02-25,Max Sharpe Portfolio,SPY,1.329705639478457
256,2026-02-26,Max Sharpe Portfolio,SPY,1.4005670658886498
257,2026-02-27,Max Sharpe Portfolio,SPY,1.385201537477328
258,2026-03-02,Max Sharpe Portfolio,SPY,1.38756496067933
259,2026-03-03,Max Sharpe Portfolio,SPY,1.3724261229901662
260,2026-03-04,Max Sharpe Portfolio,SPY,1.3585522720707843
261,2026-03-05,Max Sharpe Portfolio,SPY,1.3693476431565583
262,2026-03-06,Max Sharpe Portfolio,SPY,1.3753348462070534
263,2026-03-09,Max Sharpe Portfolio,SPY,1.3351989424040278
264,2026-03-10,Max Sharpe Portfolio,SPY,1.3465211165675446
265,2026-03-11,Max Sharpe Portfolio,SPY,1.3114642105631504
266,2026-03-12,Max Sharpe Portfolio,SPY,1.3073404337801504
267,2026-03-13,Max Sharpe Portfolio,SPY,1.3444342664973594
268,2026-03-16,Max Sharpe Portfolio,SPY,1.333738347772339
269,2026-03-17,Max Sharpe Portfolio,SPY,1.347105385171745
270,2026-03-18,Max Sharpe Portfolio,SPY,1.3299635817054105
271,2026-03-19,Max Sharpe Portfolio,SPY,1.2734501813659567
272,2026-03-20,Max Sharpe Portfolio,SPY,1.2672856859453656
273,2026-03-23,Max Sharpe Portfolio,SPY,1.2535852715682057
274,2026-03-24,Max Sharpe Portfolio,SPY,1.3239579607341692
275,2026-03-25,Max Sharpe Portfolio,SPY,1.3287542135270838
276,2026-03-26,Max Sharpe Portfolio,SPY,1.3125400491050436
277,2026-03-27,Max Sharpe Portfolio,SPY,1.3427237966546965
278,2026-03-30,Max Sharpe Portfolio,SPY,1.3803591308432634
279,2026-03-31,Max Sharpe Portfolio,SPY,1.3940162945334458
280,2026-04-01,Max Sharpe Portfolio,SPY,1.4856041190701568
281,2026-04-02,Max Sharpe Portfolio,SPY,1.5052910119698029
282,2026-04-06,Max Sharpe Portfolio,SPY,1.5003661503014762
283,2026-04-07,Max Sharpe Portfolio,SPY,1.4889280492333608
284,2026-04-08,Max Sharpe Portfolio,SPY,1.4526969975632387
285,2026-04-09,Max Sharpe Portfolio,SPY,1.5343365731303658
286,2026-04-10,Max Sharpe Portfolio,SPY,1.5076873039958738
287,2026-04-13,Max Sharpe Portfolio,SPY,1.5135805297511546
288,2026-04-14,Max Sharpe Portfolio,SPY,1.4923494492925906
289,2026-04-15,Max Sharpe Portfolio,SPY,1.5082221492027152
290,2026-04-16,Max Sharpe Portfolio,SPY,1.5122810622001162
291,2026-04-17,Max Sharpe Portfolio,SPY,1.5253321759747287
292,2026-04-20,Max Sharpe Portfolio,SPY,1.5231695000983443
293,2026-04-21,Max Sharpe Portfolio,SPY,1.5309057984135317
294,2026-04-22,Max Sharpe Portfolio,SPY,1.5468950799438448
295,2026-04-23,Max Sharpe Portfolio,SPY,1.5266164760754628
296,2026-04-24,Max Sharpe Portfolio,SPY,1.5256083104333267
297,2026-04-27,Max Sharpe Portfolio,SPY,1.4935497487615674
298,2026-04-28,Max Sharpe Portfolio,SPY,1.5034724470233185
299,2026-04-29,Max Sharpe Portfolio,SPY,1.5026449991728648
300,2026-04-30,Max Sharpe Portfolio,SPY,1.4983178019542798
301,2026-05-01,Max Sharpe Portfolio,SPY,1.6187758962072978
302,2026-05-04,Max Sharpe Portfolio,SPY,1.6309461228400148
303,2026-05-05,Max Sharpe Portfolio,SPY,1.7040457114907328
304,2026-05-06,Max Sharpe Portfolio,SPY,1.727286333935227
305,2026-05-07,Max Sharpe Portfolio,SPY,1.6614306284442835
306,2026-05-08,Max Sharpe Portfolio,SPY,1.6456272084632182
307,2026-05-11,Max Sharpe Portfolio,SPY,1.6362355170676937
308,2026-05-12,Max Sharpe Portfolio,SPY,1.5873132914378816
309,2026-05-13,Max Sharpe Portfolio,SPY,1.5939219147142971
310,2026-05-14,Max Sharpe Portfolio,SPY,1.519428786621696
311,2026-05-15,Max Sharpe Portfolio,SPY,1.4731889323665206
312,2026-05-18,Max Sharpe Portfolio,SPY,1.3905028079025104
313,2026-05-19,Max Sharpe Portfolio,SPY,1.4000386210011946
314,2026-05-20,Max Sharpe Portfolio,SPY,1.4708750658209961
315,2026-05-21,Max Sharpe Portfolio,SPY,1.3554165033189782
316,2026-05-22,Max Sharpe Portfolio,SPY,1.350246299126117
317,2026-05-26,Max Sharpe Portfolio,SPY,1.3351352570879504
318,2026-05-27,Max Sharpe Portfolio,SPY,1.3520003108802134
319,2026-05-28,Max Sharpe Portfolio,SPY,1.3067114897742464
320,2026-05-29,Max Sharpe Portfolio,SPY,1.2667646461908584
321,2026-06-01,Max Sharpe Portfolio,SPY,1.266545401081948
322,2026-06-02,Max Sharpe Portfolio,SPY,1.1949984144167822
323,2026-06-03,Max Sharpe Portfolio,SPY,1.2182887412610846
324,2026-06-04,Max Sharpe Portfolio,SPY,1.1779779475034267
325,2026-06-05,Max Sharpe Portfolio,SPY,1.2697654011054993
326,2026-06-08,Max Sharpe Portfolio,SPY,1.072919418703732
327,2026-06-09,Max Sharpe Portfolio,SPY,1.0815141800180312
328,2026-06-10,Max Sharpe Portfolio,SPY,1.0657035203475649
329,2026-06-11,Max Sharpe Portfolio,SPY,1.0528358641353535
330,2026-06-12,Max Sharpe Portfolio,SPY,1.0609217998869747
331,2026-06-15,Max Sharpe Portfolio,SPY,0.9495613818354093
332,2026-06-16,Max Sharpe Portfolio,SPY,0.9666348435496825
333,2026-06-17,Max Sharpe Portfolio,SPY,0.9219816209440119
334,2026-06-18,Max Sharpe Portfolio,SPY,0.8907884380834066
335,2026-06-22,Max Sharpe Portfolio,SPY,0.9106957497569438
336,2026-06-23,Max Sharpe Portfolio,SPY,0.9341249050397247
337,2026-06-24,Max Sharpe Portfolio,SPY,0.9551273150310094
338,2026-06-25,Max Sharpe Portfolio,SPY,0.9668035660712854
339,2025-02-19,Max Sharpe Portfolio,VOO,1.150660515071255
340,2025-02-20,Max Sharpe Portfolio,VOO,1.1735587513537604
341,2025-02-21,Max Sharpe Portfolio,VOO,1.1709787836431749
342,2025-02-24,Max Sharpe Portfolio,VOO,1.2870672982957956
343,2025-02-25,Max Sharpe Portfolio,VOO,1.2956101083510174
344,2025-02-26,Max Sharpe Portfolio,VOO,1.3444836238456361
345,2025-02-27,Max Sharpe Portfolio,VOO,1.3438900289227607
346,2025-02-28,Max Sharpe Portfolio,VOO,1.2787759959150429
347,2025-03-03,Max Sharpe Portfolio,VOO,1.0353083310469455
348,2025-03-04,Max Sharpe Portfolio,VOO,1.0859638111536591
349,2025-03-05,Max Sharpe Portfolio,VOO,1.0519585086358134
350,2025-03-06,Max Sharpe Portfolio,VOO,1.0360549373128114
351,2025-03-07,Max Sharpe Portfolio,VOO,1.0219434123418234
352,2025-03-10,Max Sharpe Portfolio,VOO,1.037425706130782
353,2025-03-11,Max Sharpe Portfolio,VOO,1.1174645145035054
354,2025-03-12,Max Sharpe Portfolio,VOO,1.1180449254882954
355,2025-03-13,Max Sharpe Portfolio,VOO,1.1475832562318575
356,2025-03-14,Max Sharpe Portfolio,VOO,1.1604504542413985
357,2025-03-17,Max Sharpe Portfolio,VOO,1.1167646276243997
358,2025-03-18,Max Sharpe Portfolio,VOO,1.1280508615447522
359,2025-03-19,Max Sharpe Portfolio,VOO,1.112130618102418
360,2025-03-20,Max Sharpe Portfolio,VOO,1.1382318046240132
361,2025-03-21,Max Sharpe Portfolio,VOO,1.182323917788723
362,2025-03-24,Max Sharpe Portfolio,VOO,1.1733111150447173
363,2025-03-25,Max Sharpe Portfolio,VOO,1.192869239221857
364,2025-03-26,Max Sharpe Portfolio,VOO,1.222609401415524
365,2025-03-27,Max Sharpe Portfolio,VOO,1.2356541543752755
366,2025-03-28,Max Sharpe Portfolio,VOO,1.2408108894030019
367,2025-03-31,Max Sharpe Portfolio,VOO,1.2786415317423336
368,2025-04-01,Max Sharpe Portfolio,VOO,1.2713036033116447
369,2025-04-02,Max Sharpe Portfolio,VOO,1.270563850370979
370,2025-04-03,Max Sharpe Portfolio,VOO,1.278828742797945
371,2025-04-04,Max Sharpe Portfolio,VOO,1.363783380855711
372,2025-04-07,Max Sharpe Portfolio,VOO,1.2412497277875483
373,2025-04-08,Max Sharpe Portfolio,VOO,1.24325759010817
374,2025-04-09,Max Sharpe Portfolio,VOO,1.2375015279112191
375,2025-04-10,Max Sharpe Portfolio,VOO,1.1766291491857357
376,2025-04-11,Max Sharpe Portfolio,VOO,1.1780560059925365
377,2025-04-14,Max Sharpe Portfolio,VOO,1.1763333618617813
378,2025-04-15,Max Sharpe Portfolio,VOO,1.176131533006327
379,2025-04-16,Max Sharpe Portfolio,VOO,1.1751996764556205
380,2025-04-17,Max Sharpe Portfolio,VOO,1.178471930054001
381,2025-04-21,Max Sharpe Portfolio,VOO,1.1825291843072991
382,2025-04-22,Max Sharpe Portfolio,VOO,1.1703080439393554
383,2025-04-23,Max Sharpe Portfolio,VOO,1.158393767266884
384,2025-04-24,Max Sharpe Portfolio,VOO,1.1646357481781369
385,2025-04-25,Max Sharpe Portfolio,VOO,1.165837436893401
386,2025-04-28,Max Sharpe Portfolio,VOO,1.163934213567574
387,2025-04-29,Max Sharpe Portfolio,VOO,1.167892034212373
388,2025-04-30,Max Sharpe Portfolio,VOO,1.1676340291022775
389,2025-05-01,Max Sharpe Portfolio,VOO,1.1694406494168572
390,2025-05-02,Max Sharpe Portfolio,VOO,1.166635071146585
391,2025-05-05,Max Sharpe Portfolio,VOO,1.1724309275160218
392,2025-05-06,Max Sharpe Portfolio,VOO,1.1706825233135607
393,2025-05-07,Max Sharpe Portfolio,VOO,1.1659928010912846
394,2025-05-08,Max Sharpe Portfolio,VOO,1.1577938437038244
395,2025-05-09,Max Sharpe Portfolio,VOO,1.1578355935510438
396,2025-05-12,Max Sharpe Portfolio,VOO,1.1564668179526882
397,2025-05-13,Max Sharpe Portfolio,VOO,1.1539683046486902
398,2025-05-14,Max Sharpe Portfolio,VOO,1.1542184635276784
399,2025-05-15,Max Sharpe Portfolio,VOO,1.1540377259335364
400,2025-05-16,Max Sharpe Portfolio,VOO,1.15279990634186
401,2025-05-19,Max Sharpe Portfolio,VOO,1.0942680243025065
402,2025-05-20,Max Sharpe Portfolio,VOO,1.1084790307788828
403,2025-05-21,Max Sharpe Portfolio,VOO,1.12066249063919
